cn,indeg_in_subgraph,depth,arxiv_id,doi,inspire_url,title
815903,19,2,0903.3490,10.1103/PhysRevD.80.014021,https://inspirehep.net/literature/815903,"Transverse momentum dependent distribution functions in a covariant parton model approach with quark orbital motion"
877524,19,3,1011.3540,10.1016/j.cpc.2011.06.008,https://inspirehep.net/literature/877524,"FEWZ 2.0: A code for hadronic Z production at next-to-next-to-leading order"
803693,18,2,0811.4589,10.1103/PhysRevLett.102.182001,https://inspirehep.net/literature/803693,"Measurement of Angular Distributions of Drell-Yan Dimuons in p + p Interactions at 800-GeV/c"
681541,18,4,hep-ph/0504261,10.1103/PhysRevD.72.074013,https://inspirehep.net/literature/681541,"Monte Carlo simulation of events with Drell-Yan lepton pairs from antiproton-proton collisions: The Fully polarized case"
731418,18,4,hep-ph/0611148,10.1088/0034-4885/70/1/R02,https://inspirehep.net/literature/731418,"Hard Interactions of Quarks and Gluons: A Primer for LHC Physics"
752700,17,1,0706.1196,10.1103/PhysRevD.76.074029,https://inspirehep.net/literature/752700,"Single Transverse-Spin Asymmetry in Hadronic Dijet Production"
759562,17,1,0708.4398,10.1103/PhysRevD.76.094013,https://inspirehep.net/literature/759562,"Hadronic Dijet Imbalance and Transverse-Momentum Dependent Parton Distributions"
778396,17,3,0801.4545,10.1103/PhysRevC.78.014901,https://inspirehep.net/literature/778396,"Dihadron azimuthal correlations in Au$+$Au collisions at $\sqrt{s_{NN}}=$ 200 GeV"
778643,17,3,0802.0139,10.1088/1126-6708/2008/07/102,https://inspirehep.net/literature/778643,"An Improved global analysis of nuclear parton distribution functions including RHIC data"
829121,17,3,0908.2766,10.1103/PhysRevD.81.014032,https://inspirehep.net/literature/829121,"The 3, 4, and 5-flavor NNLO Parton from Deep-Inelastic-Scattering Data and at Hadron Colliders"
684954,17,4,hep-ph/0506127,10.1016/j.physletb.2007.05.043,https://inspirehep.net/literature/684954,"T-odd effects in unpolarized Drell-Yan scattering"
781205,17,4,0803.1692,10.1103/PhysRevD.77.054011,https://inspirehep.net/literature/781205,"Extracting Boer-Mulders functions from p+D Drell-Yan processes"
693371,16,2,hep-ph/0509294,10.1103/PhysRevD.73.077501,https://inspirehep.net/literature/693371,"Threshold resummation for Higgs production in effective field theory"
716284,16,2,hep-ph/0605068,10.1016/j.nuclphysb.2006.07.002,https://inspirehep.net/literature/716284,"Resummation of threshold logarithms in effective field theory for DIS, Drell-Yan and Higgs production"
806088,16,2,0812.4484,10.1103/PhysRevD.79.114022,https://inspirehep.net/literature/806088,"QCD Evolution of the Transverse Momentum Dependent Correlations"
848363,16,2,1003.2190,10.1103/PhysRevD.81.094019,https://inspirehep.net/literature/848363,"Intrinsic transverse parton momenta in deeply inelastic reactions"
729417,16,3,hep-ph/0610236,10.1103/PhysRevD.74.094018,https://inspirehep.net/literature/729417,"Single transverse-spin asymmetries at large-x"
784417,16,3,0804.4168,10.1103/PhysRevLett.104.132301,https://inspirehep.net/literature/784417,"Enhanced production of direct photons in Au+Au collisions at $\sqrt{s_{NN}}=200$ GeV and implications for the initial temperature"
800431,16,3,0810.4274,10.1103/PhysRevD.79.074023,https://inspirehep.net/literature/800431,"Dynamical NNLO parton distributions"
832907,15,1,0910.0467,10.1103/PhysRevD.81.094035,https://inspirehep.net/literature/832907,"Factorization at the LHC: From PDFs to Initial State Jets"
697375,15,2,hep-ph/0511119,"",https://inspirehep.net/literature/697375,"Working Group I: Parton distributions: Summary report for the HERA LHC Workshop Proceedings"
709321,15,2,nucl-ex/0601037,10.1103/PhysRevLett.96.202301,https://inspirehep.net/literature/709321,"Common suppression pattern of eta and pi0 mesons at high transverse momentum in Au+Au collisions at S(NN)**(1/2) = 200-GeV"
733894,15,2,hep-ph/0612094,10.1103/PhysRevD.76.034020,https://inspirehep.net/literature/733894,"Drell-Yan processes, transversity and light-cone wavefunctions"
946813,15,2,1111.4996,10.1007/JHEP07(2012)002,https://inspirehep.net/literature/946813,"Factorization Theorem For Drell-Yan At Low $q_T$ And Transverse Momentum Distributions On-The-Light-Cone"
699936,15,3,hep-ph/0512091,10.1103/PhysRevD.73.034018,https://inspirehep.net/literature/699936,"Monte Carlo simulation of the Sivers effect in high-energy proton-proton collisions"
727597,15,3,hep-ph/0610012,"",https://inspirehep.net/literature/727597,"Tevatron-for-LHC Report of the QCD Working Group"
731134,15,3,nucl-ex/0611007,10.1103/PhysRevC.76.034904,https://inspirehep.net/literature/731134,"A Detailed Study of High-p(T) Neutral Pion Suppression and Azimuthal Anisotropy in Au+Au Collisions at s(NN)**(1/2) = 200-GeV"
762190,15,3,0709.3253,10.1103/PhysRevD.77.014023,https://inspirehep.net/literature/762190,"Are there approximate relations among transverse momentum dependent distribution functions?"
